question,answer,chapter,explanation
（　A　）の大願を発して、（　B　）の金銅像一躯を造り奉る。……広く法界に及ぼして、朕が（　C　）とす。……天下の富を有つ者は朕なり。天下の勢を有つ者も朕なり。此の富勢を以て此の尊き像を造らむ。……如し更に人有りて一枝の草一把の土を持ちて像を助け造らむと情に願はば、恣に聴せ。【続日本紀】,菩薩/盧舎那仏/知識,第3章,743年、聖武天皇が紫香楽宮で発した詔。鎮護国家の象徴として盧舎那仏（大仏）の造立を宣言したもの。知識とは、自発的に仏教活動に協力する信者のことで、僧の行基らの協力により民衆の力を集めて完成させた。
頃者百姓漸く多くして、田池窄狭なり。望み請ふらくは、天下に勧め課せて、田疇を開闢かしめむ。其れ新たに溝池を造り、開墾を営む者有らば、多少を限らず、給ひて、（　A　）に伝へしめむ。若し旧の溝池に逐はば、其の（　B　）に給はむ。【続日本紀】,三世/一身,第3章,723年に制定された「三世一身法」。人口増加による口分田不足を補うため、大規模な灌漑施設（溝や池）を新設して開墾した場合は孫の代まで（三代）、既存の施設を利用した場合は本人一代に限って私有を認めた。公地公民制が限界を迎え、私有化へと進む先駆けとなった法令。
聞くならく、墾田は（　A    ）七年の格に依りて、限満つるの後は例に依りて収授す。是に由りて農夫怠倦して、地を開きし後荒みぬ。今自り以後、任に（　B　）とし、三世一身を論ずること無く、咸悉く（　C　）に取ること莫れ。【続日本紀】,養老/私財/永年,第3章,743年に制定された「墾田永年私財法」。723年の三世一身の法では期限が来ると土地が公収されたため、農民が意欲を失い（怠倦）、田が再び荒廃したことを受けて、開墾地の永久私有を認めた。これにより有力貴族や寺院による大規模な開墾が進み、後の初期荘園（自墾地系荘園）の形成へと繋がった。
以下は籍帳支配の崩壊を記した史料である。　　一郷を以て之を推すに、天下の虚耗、掌を指して知るべし。……一、諸国に勅して見口数に随ひて（　A　）を授けんことを請ふの事。……延喜十四年、従四位上式部大輔（　B　）上る。【（　C　）】,虚耗/口分田/三善清行/本朝文粋,第4章,914年、醍醐天皇に提出された三善清行による「意見封事十二箇条」。かつて2万人いた兵士が、徴税を逃れるための浮浪・逃亡により最終的に「一人も無し」となった備中国邇磨郷の例を挙げ、律令国家の経済的困窮を訴えた。出典の本朝文粋は平安中期の漢詩文集。
（　A　）国の郡司百姓等解し申し官裁を請ふの事……当国守藤原朝臣（　B　）、三箇年内に責め取る非法の官物、并びに濫行横法卅一箇条の愁状。……望み請ふらくは件の（　B　）朝臣を停止し、良吏に改任せられ……。【平安遺文】,尾張/元命,第4章,988年、尾張国の郡司・百姓らが、受領の藤原元命の暴政を訴えた史料。受領が徴税権を背景に私腹を肥やす一方で、現地の有力者（郡司・田堵ら）が団結して対抗し、実際に元命を停止（罷免）に追い込んだ。地方政治の変質と受領の実態を示す重要史料。
一、当時の相承は、（　A　）領主沙弥寿妙嫡々相伝の次第也。一、寿妙の末流の高方の時、権威を借らむがために、実政卿を以て（　B　）と号し……高方は庄家領掌進退の（　C　）職となる。……是の故に願西、領家得分二百石を以て、高陽院内親王に寄進す。……是れ則ち（　D　）の始め也。【　E　】,開発/領家/預所/本家/東寺百合文書,第4章,肥後国の鹿子木荘を例に、寄進地系荘園の成立過程を示す史料。地元の開発領主が、国司の圧迫を逃れ権威を借りるために上位の貴族に寄進して領家とし、自らは預所として実権を確保した。さらに上位の権門へ寄進が進むことで本家が現れるという「職の体系」を説明している。ここに登場する人物に関する設問も多い。
（　A　）二年以後の新立庄園を停止すべし。縦ひ彼の年以往と雖も、立券分明ならず、（　B　）に妨げ有らば、同じく停止の由宣下す。……始めて（　C　）を置き、寄人等を定む。【（　D　）】,寛徳/国務/記録荘園券契所/百錬抄,第4章,1069年、後三条天皇が発した荘園整理令。基準年である寛徳二年以降の新設荘園や、それ以前でも書類が不備で国務（国司の職務）を妨げるものを廃止した。審査のために記録荘園券契所（記録所）を設置し、摂関家領であっても容赦なく整理を断行した。
延久の（　A　）とてはじめて置かれたりけるは……（　B　）の時、一の所の御領御領とのみ云て、庄園諸国に満ちて……宇治殿へ仰せられたりける御返事に、「……なんでう文書かは候べき。……数をつくして倒され候べきなり」と、さわやかに申されたりければ……別に宣旨を下されて、「この（　A　）へ文書どもめすことには、前（　C　）の領をば除く」、と云宣下ありて……。【　D　】,記録所/宇治殿/大相国/愚管抄,第4章,『愚管抄』に記された、後三条天皇と藤原頼通（宇治殿）の対立。頼通は「（C）大相国（太政大臣）として長年仕えてきた自分の所に書類などない」と開き直ったが、天皇は頼通の領地を審査対象から外す（除外する）という宣旨を出すことで、逆説的に「例外を認めないほど徹底する」という姿勢を他に見せつけた。
（　A　）院ノ位ノ御時……世ノ政ヲハジメテ院中ニテシラセ給フ。……此御時ヨリ（　B　）・庁御（　C　）ヲオモクセラレシニヨリテ、在位ノ君又位ニソナハリ給ヘルバカリナリ。【神皇正統記】,白河/院宣/下文,第4章,白河上皇により開始された院政の仕組みを記した史料。上皇の私的な命令である院宣や、院庁という役所から出される下文（院庁下文）が、従来の天皇の命令（宣旨）や太政官の命令（官符）を上回る権威を持ったことを示している。
白河の院は、（　A　）の水、（　B　）の賽、（　C　）、是れぞ朕が心に随はぬ者と、常に仰せの有りけるとぞ申し伝へたる。【（　D　）】,賀茂川/双六/山法師/源平盛衰記,第4章,白河上皇が「自分の思い通りにならないもの」として挙げた3つ。度重なる洪水、サイコロの目、そして強訴を繰り返す延暦寺の僧兵を指す。絶対権力を誇った治天の君でさえ、自然災害や僧兵の威力には苦慮していたことがわかる。出典の（D）は『平家物語』の異本の一つ。
（　A　）精舎の鐘の声、諸行無常の響きあり。……（　B　）殿の御一家の君達と言ひてしかば、花族も栄耀も面を向へ、肩を並ぶる人なし。……平大納言（　C　）卿ののたまひけるは、「此一門にあらざらむ人は、皆人非人なるべし」とぞのたまひける。【平家物語】,祇園/六波羅/時忠,第4章,平氏の繁栄と没落を描いた軍記物語。清盛の拠点である六波羅を中心に、一門で日本の半国以上の知行国を支配した。清盛の義弟である時忠の言葉「平氏でなければ人ではない」は、当時の平氏の傲慢さと圧倒的な権勢を象徴している。
（（　A    ）二年閏十月）十三日……抑、東海・東山・北陸三道之庄園国領、本の如く領知すべきの由、宣下せらるべきの旨、（　B　）申し請ふ。仍って（　C　）を下さるるの処、北陸道許りは（　D　）を恐るるに依り、その（　C　）を成されず。【　E　】,寿永/頼朝/宣旨/義仲/玉葉,第5章,寿永二年十月宣旨。1183年、後白河法皇が源頼朝に東海道・東山道の支配権を公認した。頼朝はこれによって東国支配の正当性を得たが、木曾義仲の勢力圏であった北陸道は対象から除外された。
（（　A　）三年五月）十九日、壬寅……（　B　）、家人等を簾下に招き、秋田城介景盛を以て示し含ませて曰く、「皆心一にして奉るべし。是最後の詞なり。故（　B　）、朝敵を征罰し、関東を草創してより以降、官位と云ひ俸録と云ひ、其の恩、既に山岳よりも高く、溟渤よりも深し。報謝の志浅からむや。而るに、今逆臣の讒に依りて、非義の（　C　）を下さる。名を惜しむの族は、早く（　D　）・胤義等を討ち取り、三代将軍の遺跡を全ふすべし。但し、院中に参らむと欲する者は、只今申し切るべし」者。群参の士悉く命に応じ、且は涙に溺れて返報を申すこと委しからず。只命を軽んじて恩に酬いむことを思ふ。【　E　】,承久/二品/右大将軍/綸旨/秀康/吾妻鏡,第5章,吾妻鏡の記述。1221年の承久の乱に際し、北条政子（二品）が御家人に行った演説。源頼朝（右大将軍）への御恩を説き、後鳥羽上皇側の藤原秀康・三浦胤義らの討伐を命じた。秋田城介景盛は安達景盛を指す。また「三代将軍の遺跡」とは、頼朝・頼家・実朝の源氏三代が築いた幕府の伝統や基盤を意味する。
さてこの式目をつくられ候事は、…ま事にさせる本文にすがりたる事候はねども、たゞ（　A　）のおすところを記され候もの也。…この式目は、只（　B　）をしれる物の世間におほく候ごとく、あまねく人に心へやすからせむために、武家の人へのはからひのためばかりに候。これによりて（　C　）の御沙汰、律令のおきて聊もあらたまるべきにあらず候也。…九月十一日（　D　）在　（　E　）殿【貞永式目唯浄裏書】,どうり/かな/京都/武蔵守/駿河守,第5章,御成敗式目制定の意図、と呼ばれる史料。北条泰時（武蔵守）が連署の北条時房（駿河守）に宛てた。式目の基準が「道理」であること、武士に配慮し「仮名」を用いたこと、京都の律令を改正するものではないことを説明している。史料の穴埋めは史料通りに「どうり」「かな」とする。
一、諸国守護人奉行の事。右、右大将家の御時定め置かるる所は、（ A ）・謀叛・殺害人等の事なり。…大番役ならびに謀叛・殺害のほか、守護の沙汰を停止せしむべし。…一、御下文を帯ぶといへども知行せしめず、年序を経る所領の事。右、当知行の後、（ B ）を過ぎば、大将家の例に任せて理非を論ぜず改替にあたはず。【御成敗式目】,大番催促/廿ヶ年,第5章,御成敗式目（貞永式目）の第3条と第8条の記述。第3条では守護の職権を「大犯三箇条」に限定し、国司や地頭の権利への介入を禁じた。第8条では、20年間（廿ヶ年）の継続支配（当知行）があれば、正当な証文がなくても所領の権利が確定することを定めた。
阿テ河ノ上村百姓ラツツシテ言上…チトウノカタエセメツカワレ候ヘハ、テマヒマ候ワス候、…ヲレラカコノムキマカヌモノナラハ、メコトモヲヲイコメ、（ A ）ヲキリ、（ B ）ヲソキ、カミヲキリテ、アマニナシテ、ナワホタシヲウチテ、サエナマント候ウテ、セメセンカウセラレ候アイタ、…【高野山文書】,ミミ/ハナ,第5章,阿弖河荘百姓申状。1275年、紀伊国の阿弖河荘（あてがわのしょう）の百姓たちが、地頭による過酷な労働（御材木の伐出）や、妻子への暴行（耳鼻を削ぎ尼にする等の脅迫）を、荘園領主の高野山へ訴えたもの。
和与 備後国神崎庄（ A ）以下所務条々の事…当寺の知行の間、別儀を以て（ B ）せしめ、田畠山河以下の（ A ）は（ C ）せしめ、各々（ D ）の所務を致す可し。仍て（ B ）の状件の如し。【金剛三昧院文書】,下地/和与/中分/一円,第5章,備後国神崎荘の下地中分に関する史料。1318年、荘園領主の高野山側（雑掌・行盛）と地頭側（地頭代・助景）が、長年の相論を解決するために土地を分割した。「下地（土地）」を「中分（折半）」し、双方が「一円（完全）」支配を行うことを合意した「和与（妥協・和平）」の文書。「下地中分図」もよく出る。
一、善人なほもつて往生を逐ぐ、況んや（ A ）をや。…この条、一旦、その言はれあるに似たれども、（ B ）・他力の意趣に背けり。【　C　】,悪人/本願/歎異抄,第5章,歎異抄の記述（悪人正機説）。親鸞の没後、弟子の唯円が師の教えを回想して記した書物。「悪人正機」の思想を説いており、自力で善を行おうとする者（善人）よりも、己を罪深いと自覚し他力（阿弥陀如来）に頼る者（悪人）こそが救済の主客であると述べている。
一、質券売買地の事……（ A ）・御家人の買得地に於ては、本条を守り、（ B ）を過ぐるは、本主取返すに及ばず。非御家人並びに凡下の輩の買得地に至りては、年紀の遠近を謂はず、本主之を取返すべし。【東寺百合文書】,地頭/廿箇年,第5章,永仁の徳政令。1297年、北条貞時が御家人の借金苦を救うため出した法令。御家人同士の売買なら20年（廿箇年）経過で権利が確定するが、相手が非御家人や凡下（一般庶民）の場合は、年紀に関わらず無条件で土地を取り返せるとした。
此比都ニハヤル物、夜討強盗（ A ）、…俄大名迷者、（ B ）恩賞虚軍、本領ハナルゝ訴訟人、…（ C ）スル成出者、器用ノ堪否沙汰モナク、モルゝ人ナキ（ D ）、…【建武年間記】,謀綸旨/安堵/下克上/決断所,第6章,二条河原落書。建武の新政による混乱を風刺したもの。偽の天皇の命令（謀綸旨）の横行、武士の関心事である所領の承認（安堵）、実力主義の台頭（下克上）、そして膨大な所領訴訟を裁ききれなかった機関である「決断所」の無能ぶりが皮肉られている。
応永八年五月十三日、日本准三后某、書を大（　A　）皇帝陛下に上る。…特に往古の規法に遵いて、（　B　）をして（　C　）に相副へて好を通じ方物を献ぜしむ。…某誠惶誠恐頓首頓首謹言。【　D　】,明/肥富/祖阿/善隣国宝記,第6章,1401年、足利義満が明の建文帝に使節を送った際の国書。義満は商人である肥富と僧侶の祖阿を派遣し、明から「日本国王」に封ぜられて勘合貿易が始まった。出典の『善隣国宝記』は、室町時代の僧侶・瑞渓周鳳が編纂した日本初の外交史料集。
（ A ）元年九月 日、一天下の（ B ）蜂起す。徳政と号し、酒屋・（ C ）・寺院等を破却せしめ、雑物等恣にこれを取り、借銭等悉くこれを破る。官領これを成敗す。およそ亡国の基これに過ぐべからず。日本開白以来、（ B ）蜂起これ初めなり。【（ D ）】,正長/土民/土倉/大乗院日記目録,第6章,正長の土一揆は1428年、六代将軍足利義教の代初めに発生した。近江の馬借から波及し、京都や奈良の「土民」が高利貸し（酒屋・土倉）を襲撃し「私徳政」を強行。出典は興福寺門跡・尋尊らの日記。この日記ではこの出来事が「およそ亡国の基」と否定的に捉えられている点も問われる。
或る人いわく、（ A ）国の土民、旧冬の京辺の如く蜂起し、国中の侍を悉く攻むるの間、…一国の騒動希代の非法なりと云々。およそ土民の申すところは、（ B ）をして国中にあらしむべからずと云々。乱世の至りなり。よつて（ C ）入道発向しおわんぬ者。 【嵶戒記】,播磨/侍/赤松,第6章,播磨の土一揆。「旧冬の京辺の如く」が前年に起きた正長の土一揆を指す。要求は「侍の追放」で、守護の赤松満祐が軍勢を差し向け、武力で鎮圧した。「乱世の至り」という部分も有名。
近日四辺の土民蜂起す。土一揆と号し、御徳政と称して借物を破り…縡は江州より起こる。…十日、今度土一揆蜂起の事、土蔵一衆まず（ A ）に訴え千貫の賄賂を出す。…十四日、定む徳政の事。右一国（ B ）の沙汰たるべきの旨、触れ仰せられおわんぬ。…一、永領地の事。（ C ）を過ぐるものは、銭主領知すべし、未満に至っては本主に返付せらるべし。【建内記】,管領/平均/廿箇年,第6章,1441年の嘉吉の徳政一揆に関する史料。将軍足利義教が暗殺された混乱に乗じて起こった。一揆の圧力に屈した幕府は、史上初めて公式に徳政令（嘉吉の徳政令）を発布した。出典の『建内記』は公家・万里小路時房の日記。
十一日……一、今日山城（ A ）集会す。……同じく一国中の（ B ）等群集す。……十七日、……両陣の武家衆各引退き了んぬ。山城一国中の（ A ）等申し合す故也。自今以後に於ては（ C ）方は国中に入るべからず。……（文明十八年二月）十三日、……今日山城（ A ）、（ D ）に会合す。【大乗院寺社雑事記】,国人/土民/両畠山/平等院,第6章,山城の国一揆の史料。南山城の国人と土民が団結し、対立を続けていた畠山義就・政長の軍勢を撤退させました。その後、平等院での会合を経て8年間に及ぶ自治を行いました。出典は興福寺大乗院門跡・尋尊の日記です。
…然りと雖も、（ A ）衆二十万人、（ B ）城を取囘く。故を以て、同九日城を攻落さる。皆生害す。而るに（ B ）一家の者一人之を取立つ。【蔭凉軒日録】,一揆/富樫,第6章,1488年に発生した加賀の一向一揆に関する記述です。加賀国の浄土真宗（一向宗）門徒と国人が結束し、守護の（ B ）政親を自刃に追い込みました。その後、一揆側は（ B ）泰高を名目上の守護として擁立しつつ、約1世紀にわたる自治を行いました。出典は相国寺蔭凉軒の主による日記です。
一、朝倉が館之外、国内に（ A ）を構えさせまじく候。惣別分限あらん者、（ B ）へ引越、郷村には（ C ）ばかり置かるべき事。【朝倉孝景条々】,城郭/一乗谷/代官,第7章,戦国大名朝倉氏の分国法の一節です。家臣が自分の領地に城を築くことを禁じ、本拠地である一乗谷への移住を命じました。これは家臣団の城下町集住を促し、大名による中央集権化を図った政策として非常に重要です。
一、（ A ）両国の輩、或わたくしとして他国より（ B ）を取、或ハむこに取、むすめをつかハす事、自今以後之を停止し畢ぬ。【今川仮名目録】,駿遠/よめ,第7章,今川氏の分国法の一節です。家臣が主君の許可なく他国の者と（ B ）や婿取りなどの縁組を行うことを禁じました。これは家臣が隣国の勢力と結びついて謀叛を起こすことを防ぐ、典型的な戦国大名の統治策です。
一、喧嘩の事。是非に覃ばず（ A ）を加うべし。但し、取り懸ると雖ども堪忍せしむるの輩に於いては、罪科に処すべからず。【　B　】,成敗/甲州法度之次第,第7章,武田氏の分国法（甲州法度之次第）の一節。理由を問わず喧嘩の両者を処罰する喧嘩両成敗の規定です。ただし、相手に仕掛けられても我慢した者は処罰しないと定めており、私闘を禁じて大名の法による支配を徹底させようとした意図が読み取れます。
（ A ）の町は甚だ広大にして、大なる商人多数あり。此の町はベニス市の如く執政官に依りて治めらる。【（ B ）】,堺/耶蘇会士日本通信,第7章,宣教師ガスパル・ヴィレラが堺の様子を本国へ報告した一節です。会合衆（執政官）による共和的な統治が行われていたことから、イタリアの自由都市ベニスに例えられました。
一、日本ハ（ A ）たる処、（ B ）国より（ C ）を授け候儀、太だ以て然るべからず候事。【（ D ）】,神国/きりしたん/邪法/松浦家文書,第7章,1587年、豊臣秀吉が発したバテレン追放令の一節です。秀吉は日本を（ A ）と定義し、キリスト教を仏法を破壊する（ C ）であるとして宣教師の国外追放を命じました。出典の『（ D ）』は平戸の戦国大名・松浦氏に伝わる文書です。
"一、（ A ）弓馬の道、専ら相嗜むべき事。……
一、諸国の（ B ）、修補をなすと雖も、必ず言上すべし。況んや新儀の構営堅く停止せしむる事。……
一、私に（ C ）を締ぶべからざる事。【御触書寛保集成】",文武/居城/婚姻,第8章,1615年に発布された武家諸法度の最初のもので、元和令と呼ばれます。二代将軍徳川秀忠の名で、伏見城において公布されました。起草者は家康の側近であった禅僧の崇伝（金地院崇伝）です。
"一、（ A ）弓馬の道、専ら相嗜むべき事。
一、大名小名、在（ B ）交替相定むる所なり。毎歳夏四月中（ C ）致すべし。……
一、（ D ）以上の船、停止の事。【御触書寛保集成】",文武/江戸/参勤/五百石積,第8章,1635年に三代将軍徳川家光が発布した武家諸法度（寛永令）です。元和令に、新たに参勤交代の義務化や大船建造の禁止などが追加され、幕府による大名統制が完成しました。起草者は林羅山。この史料から参勤交代の目的が「お金を使わせること」ではないとわかる。
"一、（ A ）を励し、礼儀を正すべきの事。
一、（ B ）は同姓相応の者を撰ひ、……五拾以上十七以下の輩、（ C ）に及び（ B ）致すと雖も、吟味の上これを立つべし。……附たり、（ D ）の儀、弥制禁せしむる事。【御触書寛保集成】",文武忠孝/養子/末期/殉死,第8章,1683年に五代将軍徳川綱吉が発布した武家諸法度（天和令）です。第一条が従来の「文武弓馬の道」から（ A ）へと変更されました。また、大名の改易（取り潰し）を減らすために（ C ）養子の禁が緩和され、主君の死に従う（ D ）が改めて厳禁されました。
"一、天子諸芸能の事、第一御（ A ）也。……　
一、（ B ）たると雖も、その器用無き者、三公・摂関に任ぜらるべからず。……
一、（ C ）の寺、住持職先規希有の事也。近年猥りに（ D ）の事、……甚だ然るべからず。【御当家令条】",学問/摂家/紫衣/勅許,第8章,禁中並公家諸法度。天皇の役割を学問に限定し、公家の最高家格である摂関家であっても能力がなければ要職に就けないと定めた。紫衣の授与についてのこの規定が「紫衣事件」につながった。
"一、（　A　）を致し、朝草を苅り、昼ハ田畑耕作にかかり、晩には縄をない、……油断なく仕るべき事。
一、（　B　）・茶を買、のみ申す間敷候。……
一、百姓は、衣類の儀、布・（　C　）より外は、……仕る間敷事。【条令拾遺】",朝おき/酒/木綿,第8章,慶安の触書。農民生活のあり方を説いている。かつては幕府の根本的な農民統制法とされてきましたが、実在する法令だったのかについては現在は疑問符がついている。
"一、異国え（ A ）の外、舟遣わし候儀堅く停止の事。
一、（ A ）の外に、（ B ）異国え遣わし申す間敷候。若忍び候而乗まいり候ものこれ有るに於てハ、其ものハ（ C ）……
一、異国船につみ来り候（ D ）、直段を立て候て残らず（ E ）へ割符仕るべきの事。【徳川禁令考】",奉書船/日本人/死罪/白糸/五ヶ所,第8章,鎖国令（寛永十年令）。これまでは朱印状があれば渡航できたが、奉書船以外の海外渡航が禁じられた。また、中国産生糸の価格を統制する制度を徹底させ、貿易の利益を幕府が管理下に置こうとしました。
"一、異国江（ A ）遣すの儀、堅く停止の事。
一、（ B ）異国江遣わし申す間敷候。……
一、異国え渡り住宅仕り之有る（ B ）来り候はば、（ C ）申し付くべき事。……【教令類纂】",日本の船/日本人/死罪,第8章,鎖国令（寛永十二年令）。日本人の海外渡航と帰国が全面禁止になった。キリスト教の禁止とセットで理解する。
……万石以上の面々より（ A ）差上げ候様に仰付らるべし……高一万石ニ付（ A ）（ B ）積り差上げらるべく候。……これにより在（ C ）（ D ）充づつ御免成され候。【御触書寛保集成】,八木/百石/江戸/半年,第8章,1722年に徳川吉宗が導入した上げ米の制です。幕府財政の窮乏を補うため、大名に石高1万石につき百石の米（八木）を献上させ、その代償として江戸での滞在期間を半年短縮しました。
（ A ）の儀は、慶長以来御代々御信用の御事にて、……急度門人共（ B ）相禁じ、猶又自門に限らず他門に申し合せ、（ C ）講窮致し、人才取り立て候様相心掛申すべき候事。【徳川禁令考】,朱学/異学/正学,第8章,寛政異学の禁。幕府公認の朱子学（朱学）を正学とし、それ以外の陽明学や古学などを異学として、昌平坂学問所での教授を禁止しました。
……大筋ハ（ A ）と（ B ）との二つに御座候。（ A ）は海内の憂にて、（ B ）ハ海外の患に御座候。……近年……（ C ）の奸賊容易ならざる企仕り、……上を怨み候と、上を恐れざるより起り申候。【水戸藩史料】,内憂/外患/大坂,第8章,1838年に水戸藩主徳川斉昭が幕府に提出した意見書です。国内の社会不安（一揆や打ちこわし）と対外的な危機（異国船の来航）を内憂外患と呼び、大坂で起きた大塩平八郎の乱などを例に挙げて、幕政の改革を強く促しました。
（ A ）をよくまなぶべし。……わが師の大人の（ B ）のをしへ、専らここにあり。……（ C ）、日本紀をよくよむべし。古言をしらでは、古意はしられず、古意をしらでは、古の道は知りがたかるべし。【うひ山ふみ】,万葉集/古学/古事記,第8章,『うひ山ふみ』は本居宣長が書いた学問（国学）の入門書。師である賀茂真淵の説を継承し、万葉集や古事記を研究すべきだと説きました。
海国の武備は（ A ）にあり。……水戦の要は（ B ）にあり、是れ海国自然の兵制なり。……細かに思へば、江戸の（ C ）より唐・阿蘭陀迄境なしの（ D ）なり。,海辺/大銃/日本橋/水路,第8章,林子平の海国兵談。日本は四方を海に囲まれており、外国船は長崎だけでなくどこにでも現れる可能性があると指摘しました。江戸の防備の脆弱さを説きましたが、のちに幕府から「人心を惑わす」として絶版・禁錮の処分を受けました。
近年は（ A ）の船、先年長崎において狼藉に及び、……其上（ B ）勧入れ候致方も相聞へ、旁捨置かれ難き事に候。一体（ A ）に限らず、南蛮西洋の儀は御制禁邪教の国に候間、以来何れの浦方におゐても異国船乗寄候を見受候はば、其所に有合候人夫を以て有無に及ばず（ C ）、……尤も唐・朝鮮・琉球などは船形人物も相分かるべく候得共、（ D ）は見分も相成かね申すべく、右等の船万一見損ひ、打誤り候共、御察度はこれ有間敷候……【御触書天保集成】,いきりす/邪宗門/一図に打払い/阿蘭陀船,第8章,異国船打払令。頻繁に接近するイギリスなどの外国船に対し、有無を言わさず攻撃・撃退することを命じました。貿易相手であるオランダ船と間違えて攻撃しても構わないとするなど、極めて強硬な姿勢を示しました。
今より後、日本国と魯西亜国との境は（ A ）島と（ B ）島との間に在るへし。（ A ）全島は日本に属し、（ B ）全島夫より北の方（ C ）諸島は魯西亜に属す。（ D ）島に至りては……界を分たす、是迄仕来の通たるへし。【日本外交年表竝主要文書】,エトロプ/ウルップ/クリル/カラフト,第8章,日露和親条約。長年の懸案だった国境画定について、択捉島と得撫島の間を国境と定め、樺太については「両国人雑居の地」（国境を定めない）とした。
