question,answer,era
鑑真が建立した、唐の建築様式を伝える寺院は？,唐招提寺,奈良
聖武天皇の遺品が納められた、校倉造の倉庫は？,正倉院,奈良
712年に編纂された、日本最古の歴史書は？,古事記,奈良
720年に完成した、漢文で記された正史は？,日本書紀,奈良
大伴家持らが編纂に関わった、日本最古の和歌集は？,万葉集,奈良
地方の産物や伝承をまとめた地理書を何という？,風土記,奈良
桓武天皇により征夷大将軍に任じられ、蝦夷を平定した人物は？,坂上田村麻呂,平安
最澄が比叡山に開き、天台宗の拠点となった寺は？,延暦寺,平安
空海が高野山に開き、真言宗の拠点となった寺は？,金剛峯寺,平安
894年、菅原道真の提案により廃止された制度は？,遣唐使,平安
遣唐使廃止後、日本独自の感性が発達した文化は？,国風文化,平安
紀貫之らが編纂した、最初の勅撰和歌集は？,古今和歌集,平安
紫式部によって書かれた、光源氏を主人公とする物語は？,源氏物語,平安
清少納言によって書かれた、随筆の傑作は？,枕草子,平安
紀貫之が女性を装って書いた、かな文字の日記は？,土佐日記,平安
貴族の住居様式で、池のある庭園や対屋が特徴のものは？,寝殿造,平安
日本の風景や人物を題材にして描かれた絵画は？,大和絵,平安
娘を天皇の后にし、親戚として政治の実権を握る手法は？,摂関政治,平安
摂関政治の全盛期を築き「この世をば…」と詠んだ人物は？,藤原道長,平安
藤原道長の息子で、平等院鳳凰堂を建てた人物は？,藤原頼通,平安
阿弥陀如来が死者を迎えに来る様子を描いた絵を何という？,来迎図,平安
平安時代、地方の有力農民や土着した役人が武装した集団は？,武士,平安
10世紀、関東で反乱を起こし「新皇」を自称した武士は？,平将門,平安
10世紀、瀬戸内海で反乱を起こした元受領の武士は？,藤原純友,平安
東北での戦乱（前九年・後三年の役）で勢力を広げた一族は？,源氏,平安
1086年、白河天皇が譲位後に実権を握るために始めた政治は？,院政,平安
院（上皇）の身辺を警護した武士団を何という？,北面の武士,平安
1156年、崇徳上皇と後白河天皇が対立した乱は？,保元の乱,平安
1159年、源義朝と平清盛が争い、平氏が勝利した乱は？,平治の乱,平安
武士として初めて太政大臣になり、平氏の全盛期を築いたのは？,平清盛,平安
平清盛が兵庫の港を整備して行った中国（宋）との貿易は？,日宋貿易,平安
日宋貿易のために整備された現在の神戸港にあたる場所は？,大輪田泊,平安
1185年、平氏が滅亡した山口県での戦いは？,壇ノ浦の戦い,平安
源頼朝が鎌倉に設けた、侍の統制を行う機関は？,侍所,鎌倉
源頼朝が諸国に置いた、軍事・警察・裁判を司る役職は？,守護,鎌倉
源頼朝が荘園などに置いた、年貢の徴収や土地管理を行う役職は？,地頭,鎌倉
1192年（または1185年）、源頼朝が任命された役職は？,征夷大将軍,鎌倉
将軍が御家人の領地を保証し、新たな領地を与えることを何という？,御恩,鎌倉
御家人が軍役や番役を果たすことを何という？,奉公,鎌倉
頼朝の死後、北条氏が就任した将軍を補佐する最高役職は？,執権,鎌倉
1221年、後鳥羽上皇が倒幕を目指して起こした戦いは？,承久の乱,鎌倉
承久の乱の後、朝廷を監視するために京都に置かれた役所は？,六波羅探題,鎌倉
1232年、北条泰時が制定した武士のための最初の法律は？,御成敗式目,鎌倉
鎌倉時代、同じ土地で年に2回作物を作る農法は？,二毛作,鎌倉
鎌倉時代、月3回開かれた定期的な市を何という？,三斎市,鎌倉
13世紀後半、モンゴル帝国が日本を攻撃した出来事は？,元寇,鎌倉
元寇で日本を襲ったモンゴル（元）の皇帝は？,フビライ・ハン,鎌倉
恩賞不足で困窮した御家人のため、幕府が出した借金帳消し令は？,徳政令,鎌倉
鎌倉時代、念仏さえ唱えれば救われると説き、浄土宗を開いたのは？,法然,鎌倉
親鸞が開き、農民に広く普及した浄土系の宗派は？,浄土真宗,鎌倉
一遍が開き、踊り念仏で全国を布教した宗派は？,時宗,鎌倉
「南無妙法蓮華経」を唱えれば救われると説いたのは？,日蓮,鎌倉
宋から入り、座禅を重視した宗教を何という？,禅宗,鎌倉
栄西が伝え、幕府の保護を受けた禅宗の宗派は？,臨済宗,鎌倉
道元が伝え、福井県に永平寺を建立した宗派は？,曹洞宗,鎌倉
東大寺南大門にある、運慶・快慶らが作った力強い像は？,金剛力士像,鎌倉
軍記物語の傑作で、琵琶法師により広まった作品は？,平家物語,鎌倉
鴨長明が記した、方丈の庵での生活を綴った随筆は？,方丈記,鎌倉
吉田兼好が記した、「つれづれなるままに…」で始まる随筆は？,徒然草,鎌倉
後醍醐天皇が始めた、公家重視の新しい政治は？,建武の新政,南北朝
足利尊氏が光明天皇を立てた京都の朝廷を何という？,北朝,南北朝
後醍醐天皇が吉野へ逃れて立てた朝廷を何という？,南朝,南北朝
1338年、足利尊氏が任命された役職は？,征夷大将軍,室町
室町幕府において将軍を補佐した最高職は？,管領,室町
室町時代、守護が国内の支配力を強め、何と呼ばれるようになった？,守護大名,室町
1392年、南北朝を合体させ、幕府の全盛期を築いた3代将軍は？,足利義満,室町
貿易で、倭寇と区別するために使われた証明書は？,勘合,室町
琉球王国を統一し、中継貿易で栄えた王権の拠点は？,首里城,室町
蝦夷地と交易を行い、後にアイヌとの紛争も起こった和人の館は？,道南十二館,室町
室町時代、商工業者が作った同業者組合を何という？,座,室町
運送業者として活動した、馬を使って荷物を運ぶ人々は？,馬借,室町
室町時代の金融業者で、質屋を営んだのは？,土倉,室町
酒の醸造を行いながら、金融も営んだ業者は？,酒屋,室町
1467年、将軍の継嗣争いなどを背景に京都で始まった乱は？,応仁の乱,室町
応仁の乱後、下の者が上の者を実力で倒す風潮を何という？,下剋上,室町
応仁の乱から約100年続く、群雄割拠の時代は？,戦国時代,室町
山城国で農民や地侍が守護大名を追放して自治を行ったのは？,山城の国一揆,室町
加賀国で一向宗の門徒が守護の富樫氏を自害させたのは？,加賀の一向一揆,室町
戦国大名が領国内の統治のために制定した法律は？,分国法,戦国
甲斐の武田氏が制定した分国法は？,甲州法度之次第,戦国
戦国大名の城下町で、家臣や商工業者を住まわせた場所は？,城下町,戦国
現代の和風建築の源流となった、書院や畳のある様式は？,書院造,室町
龍安寺などに見られる、水を使わずに石や砂で表現した庭園は？,枯山水,室町
能の幕間に演じられた、庶民的な喜劇は？,狂言,室町
水墨画を大成させ、『四季山水図巻』などを描いたのは？,雪舟,室町
『一寸法師』などのように、絵入りの物語本を何という？,御伽草子,室町
1543年、種子島に伝来し、戦い方を変えた武器は？,鉄砲,戦国
1549年、キリスト教を伝えるために鹿児島に来日したのは？,フランシスコ・ザビエル,戦国
南蛮人（ポルトガル・スペイン人）との間で行われた貿易は？,南蛮貿易,戦国
九州の戦国大名がローマ教皇に派遣した少年使節団は？,天正遣欧少年使節,安土桃山
1560年、織田信長が今川義元を破った戦いは？,桶狭間の戦い,安土桃山
1573年、織田信長が追放して滅ぼした幕府は？,室町幕府,安土桃山
1575年、信長が鉄砲を組織的に使って武田氏を破った戦いは？,長篠の戦い,安土桃山
織田信長が安土城下で行った、商業の自由化政策は？,楽市・楽座,安土桃山
1582年、明智光秀が織田信長を襲った事件は？,本能寺の変,安土桃山
1582年、豊臣秀吉が明智光秀を破った戦いは？,山崎の戦い,安土桃山
豊臣秀吉が1590年に北条氏を滅ぼして実現したことは？,天下統一,安土桃山
秀吉が全国の田畑の面積や収穫量を調査した政策は？,太閤検地,安土桃山
太閤検地で統一された、米の収穫量を表す単位は？,石高,安土桃山
秀吉が農民から武器を没収した政策は？,刀狩,安土桃山
刀狩と太閤検地によって、武士と農民が明確に区別されたことを？,兵農分離,安土桃山
秀吉が2度にわたって朝鮮へ出兵した出来事は？,文禄・慶長の役,安土桃山
安土桃山文化の象徴である、豪華な城郭建築に描かれた絵は？,障壁画,安土桃山
障壁画の代表的な絵師で、『唐獅子図屏風』を描いたのは？,狩野永徳,安土桃山
秀吉に仕え、「わび茶」を大成させた茶人は？,千利休,安土桃山
1600年、徳川家康が石田三成らを破った戦いは？,関ヶ原の戦い,江戸
1603年、徳川家康が就任した役職は？,征夷大将軍,江戸
将軍と主従関係を結び、1万石以上の領地を認められた武士は？,大名,江戸
徳川家康の一族である大名を何という？,親藩,江戸
関ヶ原の戦い以前から徳川氏に従っていた大名は？,譜代大名,江戸
関ヶ原の戦い以降に徳川氏に従った大名は？,外様大名,江戸
1615年、幕府が大名を統制するために制定した法典は？,武家諸法度,江戸
幕府が朝廷や公家を統制するために定めた法律は？,禁中並公家諸法度,江戸
3代将軍徳川家光が制度化した、大名が江戸と領地を往復する制度は？,参勤交代,江戸
家康が海外貿易を奨励し、発行した渡航許可証は？,朱印状,江戸
朱印状を持った貿易船が行った貿易を何という？,朱印船貿易,江戸
鎖国政策の一環として、キリスト教徒を見つけるために行わせたのは？,絵踏,江戸
幕府が全国民を寺の檀家として登録させた制度は？,寺請制度,江戸
1639年、渡航を禁止された最後のヨーロッパの国は？,ポルトガル,江戸
長崎の港に作られたオランダ商館の場所は？,出島,江戸
鎖国下、唯一のヨーロッパの窓口となった組織は？,オランダ商館,江戸
朝鮮から将軍の代わりごとにやってきた外交使節は？,朝鮮通信使,江戸
対馬藩を仲介として貿易が行われた国は？,朝鮮,江戸
薩摩藩が支配下に置き、中国との貿易も継続させた王国は？,琉球王国,江戸
松前藩が交易の独占権を持っていた北方の人々は？,アイヌ,江戸
1669年、松前藩の不当な交易に抗議して立ち上がったアイヌの首長は？,シャクシャイン,江戸
江戸時代の農村で、名主・組頭・百姓代をまとめて何という？,村方三役,江戸
5軒程度の家を1組とし、年貢納入などの連帯責任を負わせたのは？,五人組,江戸
江戸時代の農民の大部分を占めた、自分の土地を持つ農民は？,本百姓,江戸
土地を持たず、本百姓から土地を借りて耕作した農民は？,水呑百姓,江戸
江戸時代に普及した、深く土を耕すことができる農具は？,備中鍬,江戸
稲の穂から籾を効率よく落とすために使われた農具は？,千歯扱,江戸
風を起こして籾とゴミを選別する農具を何という？,千石通し,江戸
農書『農業全書』を記し、農業技術の普及に貢献したのは？,宮崎安貞,江戸
油を搾るための原料として栽培された作物は？,菜種,江戸
江戸・大坂・京都をまとめて何という？,三都,江戸
「天下の台所」と呼ばれ、物資が集積した都市は？,大坂,江戸
諸藩が大坂などに設置した、蔵米や特産物を売る拠点は？,蔵屋敷,江戸
幕府が公認した、商人の同業者組合を何という？,株仲間,江戸
東北・北陸から下関を経由して大坂・江戸へ至る航路は？,西廻り航路,江戸
5代将軍徳川綱吉が重用した、儒学（朱子学）の学者は？,林羅山,江戸
綱吉が創設した、聖堂を起源とする幕府の学問所は？,湯島聖堂,江戸
17世紀末から元禄期にかけて、上方を中心に栄えた文化は？,元禄文化,江戸
『浮世草子』を書き、町人の生活をリアルに描いたのは？,井原西鶴,江戸
人形浄瑠璃の脚本家で、『曽根崎心中』などを書いたのは？,近松門左衛門,江戸
『おくのほそ道』で知られる、俳諧を芸術に高めたのは？,松尾芭蕉,江戸
浮世絵の創始者で、『見返り美人図』を描いたのは？,菱川師宣,江戸
琳派を確立し、『風神雷神図屏風』を描いたのは？,俵屋宗達,江戸
装飾的な美しさを追求し、『燕子花図屏風』を描いたのは？,尾形光琳,江戸
8代将軍徳川吉宗が行った、幕府再建のための改革は？,享保の改革,江戸
享保の改革で、大名に米を納めさせる代わりに参勤交代を緩和したのは？,上米の制,江戸
享保の改革で、有能な人材を登用するために不足分の俸給を足したのは？,足高の制,江戸
吉宗が庶民の不満や意見を聞くために設置したものは？,目安箱,江戸
目安箱の投稿から設置された、貧困層向けの医療施設は？,小石川養生所,江戸
享保の改革で、裁判の公正を期すために制定された法典は？,公事方御定書,江戸
18世紀後半、老中として商業の発展を利用した政治を行ったのは？,田沼意次,江戸
田沼意次が推奨し、運上・冥加を徴収した組織は？,株仲間,江戸
田沼意次が開発を試みた、印旛沼・手賀沼の干拓や何処の地？,蝦夷地,江戸
田沼時代の政治で腐敗の原因となった、不当な贈り物は？,賄賂,江戸
1787年、松平定信が行った、質素倹約を重視した改革は？,寛政の改革,江戸
寛政の改革で、凶作に備えて米を蓄えさせた制度は？,囲米,江戸
寛政の改革で、旗本・御家人の借金を帳消しにした法令は？,棄捐令,江戸
寛政の改革で、朱子学以外の講義を聖堂学問所で禁じたのは？,寛政異学の禁,江戸
18世紀末から19世紀、江戸を中心に町人層に広がった文化は？,化政文化,江戸
十返舎一九による、弥次さん喜多さんの旅物語は？,東海道中膝栗毛,江戸
滝沢馬琴による、里見家の再興を描いた長編小説は？,南総里見八犬伝,江戸
浮世絵作家で、役者絵を得意とする「謎の絵師」といえば？,東洲斎写楽,江戸
『富嶽三十六景』を描いた、風景画の巨匠は？,葛飾北斎,江戸
『東海道五十三次』を描いた、風景画の名手は？,歌川広重,江戸
日本各地を測量し、精密な『大日本沿海輿地全図』を作ったのは？,伊能忠敬,江戸
杉田玄白・前野良沢らがオランダの解剖書を翻訳した本は？,解体新書,江戸
蘭学が発展するきっかけとなった、長崎に来日した医師は？,シーボルト,江戸
本居宣長が30年以上かけて完成させた、国学の集大成は？,古事記伝,江戸
19世紀、江戸周辺で普及した私塾や、子供が読み書きを学ぶ場は？,寺子屋,江戸
1837年、大坂で飢饉に苦しむ人々を救うため挙兵した元役人は？,大塩平八郎,江戸
1841年、老中水野忠邦が幕府の権威回復を目指した改革は？,天保の改革,江戸
天保の改革で、物価騰貴の原因として解散を命じられたのは？,株仲間,江戸
天保の改革で、農民が江戸へ流入するのを防ぐために出した法は？,人返しの法,江戸
1804年、長崎に来航して通商を求めたロシアの使節は？,レザノフ,江戸
1825年、外国船を追い払うために幕府が出した法令は？,異国船打払令,江戸
1853年、浦賀に黒船で来航し、開国を迫ったアメリカの提督は？,ペリー,江戸
ペリー来航の翌年、日本が結んだ最初の条約は？,日米和親条約,江戸
1858年、大老の井伊直弼が勅許を得ずに結んだ条約は？,日米修好通商条約,江戸
井伊直弼が、反対派の志士や公家を処罰した事件を何という？,安政の大獄,江戸
1860年、井伊直弼が水戸浪士らに暗殺された事件は？,桜田門外の変,江戸
幕府を打倒し、天皇を中心とする国家を目指した思想は？,尊王攘夷,江戸
1866年、坂本龍馬の仲介で薩摩藩と長州藩が結んだ同盟は？,薩長同盟,江戸
1867年、15代将軍徳川慶喜が政権を朝廷に返した出来事は？,大政奉還,江戸
幕府側と新政府側が戦った、1868年から始まる一連の戦争は？,戊辰戦争,江戸
弥生時代、収穫した稲の穂を摘み取るために使われた石器は？,石包丁,弥生
弥生時代、穀物を湿気やネズミから守るために作られた倉庫は？,高床倉庫,弥生
古墳時代、朝鮮半島から伝わった、硬くて灰色の土器を何というか？,須恵器,古墳
聖徳太子が建立した、日本最古の木造建築を持つ寺院の文化名は？,飛鳥文化,飛鳥
7世紀後半から8世紀初め、天武・持統天皇期の唐風の影響を受けた文化は？,白鳳文化,飛鳥
飛鳥時代、渡来人によって伝えられた本格的な寺院建築様式は？,伽藍配置,飛鳥
奈良時代、唐の文化の影響を強く受けた国際色豊かな文化を何というか？,天平文化,奈良
天平文化を象徴する、東大寺の正倉院に代表される建築様式は？,校倉造,奈良
奈良時代、地方の特産物を都へ納める税を何というか？,調,奈良
奈良時代、都での労役の代わりに布を納める税を何というか？,庸,奈良
平安時代、遣唐使廃止後に発達した日本独自の文化を何というか？,国風文化,平安
平安時代、貴族の住居様式である池や庭園を備えた建築を何というか？,寝殿造,平安
平安時代、漢字を崩して作られ、女流文学の発達を促した文字は？,かな文字,平安
平安時代に成立した、日本人の生活や風景を描いた絵画を何というか？,大和絵,平安
平安時代、末法思想を背景に「南無阿弥陀仏」を唱える信仰は？,浄土信仰,平安
鎌倉時代、同じ土地で1年に2回異なる作物を作る農法は？,二毛作,鎌倉
鎌倉時代、月に3回決まった場所で開かれた市を何というか？,三斎市,鎌倉
鎌倉時代、遠隔地との取引で現金の代わりに使われた手形を何というか？,為替,鎌倉
室町時代、3代将軍義満が北山に建てた、公家と武家の文化が融合した文化は？,北山文化,室町
室町時代、8代将軍義政が東山に建てた、わび・さびを基調とする文化は？,東山文化,室町
室町時代の住居に見られる、現代の和室の原型となった様式は？,書院造,室町
水を使わず、石や砂だけで自然の風景を表現した庭園様式は？,枯山水,室町
観阿弥・世阿弥親子によって大成された伝統芸能は？,能,室町
室町時代、商工業者が特権を守るために作った同業者組合を何というか？,座,室町
室町時代、質屋を営んだり高利貸しを行ったりした業者は？,土倉,室町
鎌倉・室町時代、貨幣経済が浸透し大量に流入した中国の貨幣は？,宋銭・明銭,中世
安土桃山時代、大名や豪商の富を背景にした豪華で壮大な文化は？,桃山文化,安土桃山
桃山文化の象徴で、城郭の壁や屏風に描かれた豪華な絵は？,障壁画,安土桃山
障壁画の代表的な絵師で、『唐獅子図屏風』を描いたのは？,狩野永徳,安土桃山
豊臣秀吉が全国の田畑の収穫量を「石高」で統一した調査は？,太閤検地,安土桃山
豊臣秀吉が農民から武器を没収し、身分を固定した政策は？,刀狩,安土桃山
江戸時代初期、朱印状を持って東南アジアへ進出した貿易は？,朱印船貿易,江戸
鎖国下の日本で、オランダ・中国と唯一貿易を行った港は？,長崎,江戸
長崎の貿易を管理し、幕府が利益を独占するために置かれた役所は？,長崎奉行所,江戸
薩摩藩が支配し、中国との中継貿易を継続させた王国は？,琉球王国,江戸
江戸時代、大坂に集まった物資を全国に売り捌く商人を何というか？,荷受問屋,江戸
江戸・大坂間の輸送を担った、「ひしがき」「たる」などの船を総称して？,廻船,江戸
東北・北陸の米を日本海から下関経由で大坂へ運ぶ航路は？,西廻り航路,江戸
江戸時代、諸藩が大坂に米や特産物を売るために設置した建物は？,蔵屋敷,江戸
幕府や藩が発行した、貨幣の代わりとして流通した紙幣を何というか？,藩札,江戸
5代綱吉の頃、上方を中心に町人たちが生み出した華やかな文化は？,元禄文化,江戸
『浮世草子』を書き、町人の欲求や生活をリアルに描いた作家は？,井原西鶴,江戸
人形浄瑠璃や歌舞伎の脚本で、『曽根崎心中』を書いたのは？,近松門左衛門,江戸
俳諧を芸術の域に高め、『おくのほそ道』を記した旅の詩人は？,松尾芭蕉,江戸
浮世絵の祖と呼ばれ、『見返り美人図』を描いたのは？,菱川師宣,江戸
琳派を確立し、『燕子花図屏風』や工芸品を制作したのは？,尾形光琳,江戸
江戸時代、農村で商品作物として栽培された藍・紅花・麻などを何という？,四木三草,江戸
江戸時代、農具の改良で普及した、深く耕せる鍬は？,備中鍬,江戸
稲の穂から籾を落とすために使われた、竹製の農具は？,千歯扱,江戸
農書『農業全書』を記し、農業技術の向上に貢献したのは？,宮崎安貞,江戸
8代吉宗が、幕府の財政難を救うために行った改革は？,享保の改革,江戸
吉宗が、足利時代の「座」を参考にして公認した商人の組織は？,株仲間,江戸
松平定信が、田沼時代の商業重視から農本主義へ戻した改革は？,寛政の改革,江戸
寛政の改革で、飢饉に備えて各地に米を蓄えさせた制度は？,囲米,江戸
江戸時代、農村に商人が道具や原料を貸して生産させる形態は？,問屋制家内工業,江戸
工場に人を集め、分業と協業で生産を行う「マニュファクチュア」を和名で？,工場制手工業,江戸
11代家斉の時期、江戸を中心に町人層に広がった庶民的な文化は？,化政文化,江戸
『東海道中膝栗毛』を書き、弥次さん喜多さんの珍道中を描いたのは？,十返舎一九,江戸
『南総里見八犬伝』を28年かけて完成させた読本作家は？,滝沢馬琴,江戸
『富嶽三十六景』で知られる、浮世絵の風景画を確立したのは？,葛飾北斎,江戸
『東海道五十三次』を描き、抒情的な風景画で人気を博したのは？,歌川広重,江戸
浮世絵で、大首絵（役者の顔アップ）を独特なタッチで描いたのは？,東洲斎写楽,江戸
伊能忠敬が17年かけて全国を測量し作成した地図は？,大日本沿海輿地全図,江戸
杉田玄白・前野良沢らが翻訳し、医学の発展に寄与した本は？,解体新書,江戸
蘭学が発展したきっかけとなった、オランダ語で西洋を紹介する学問は？,蘭学,江戸
本居宣長が30年以上かけて完成させた、国学の集大成となる著書は？,古事記伝,江戸
日本古来の精神を追求し、古典を研究する学問を何というか？,国学,江戸
江戸時代、町や村に普及し、庶民に「読み・書き・算盤」を教えた場所は？,寺子屋,江戸
武士の子弟が教育を受けた、藩が設立した学校を何というか？,藩校,江戸
水野忠邦が、物価高騰を抑えるために解散を命じたものは？,株仲間,江戸
天保の改革で、農民が江戸に流入するのを防ぐために出した法は？,人返しの法,江戸
江戸時代、農民が領主の過酷な支配に対して集団で抵抗した行為は？,百姓一揆,江戸
江戸時代後半、都市の民衆が米の買い占めに抗議して米屋などを襲った行為は？,打ちこわし,江戸
伊勢神宮への参拝が爆発的に流行した現象を何というか？,お蔭参り,江戸
幕末、「ええじゃないか」という言葉と共に乱舞が流行した現象は？,世直し一揆,江戸
蝦夷地でアイヌの人々と交易を行う権利を独占した藩は？,松前藩,江戸
江戸時代、両替商が発達し、特に「金」が中心だった都市はどこ？,江戸,江戸
江戸時代、両替商が発達し、特に「銀」が中心だった都市はどこ？,大坂,江戸
江戸幕府が最初に発行した、慶長小判などの貨幣を何という？,慶長金銀,江戸
17世紀末、備中国（岡山）の「千石通し」などと共に普及した選別具は？,唐箕,江戸
江戸時代、和算（数学）を発達させ『塵劫記』を著したのは？,吉田光由,江戸
貝原益軒が著した、生活に役立つ知識をまとめた本は？,大和本草,江戸
江戸時代、陶磁器の生産で「有田焼」などが有名な現在の都道府県は？,佐賀県,江戸
絹織物の産地として、「西陣織」が有名な現在の都市はどこ？,京都,江戸
「加賀友禅」などの染物で有名な現在の都道府県はどこ？,石川県,江戸
縄文時代、集落の中心に広場があり、その周囲に住居が配置される集落形態は？,環状集落,縄文
4世紀末、倭が百済・加羅を救援し、高句麗と戦ったことが記されている碑文は？,高句麗好太王碑,古墳
埼玉県稲荷山古墳出土の鉄剣に刻まれていた、「ワカタケル大王」のモデルとされる天皇は？,雄略天皇,古墳
古墳時代の地方官職で、地方豪族が任命され軍事・行政を司ったものは？,国造,古墳
推古天皇の時、聖徳太子とともに国政を主導した蘇我氏の人物は？,蘇我馬子,飛鳥
憲法十七条の「三宝を篤く敬え」の「三宝」とは、仏・法とあと一つは？,僧,飛鳥
大化の改新後、孝徳天皇が遷都した難波の宮殿の名称は？,難波長柄豊碕宮,飛鳥
天智天皇が制定し、日本最初の全国的な戸籍「庚午年籍」の作成根拠となった法は？,近江令,飛鳥
律令体制下、九州の外交・防衛を一手に引き受けた「遠の朝廷」と呼ばれた役所は？,大宰府,奈良
平城京の右京に位置し、商業が行われた場所を何というか？,西市,奈良
長屋王の変の後、光明子を皇后に立てて権力を握った不比等の4人の息子を何というか？,藤原四子,奈良
藤原仲麻呂が淳仁天皇を擁立し、権力を握った際の唐風の名を何というか？,恵美押勝,奈良
称徳天皇に重用され、法王の位にまで登り詰めた僧侶は？,道鏡,奈良
聖武天皇の時代に流行し、当時の美術様式を代表する国際色豊かな文化は？,天平文化,奈良
鑑真が唐招提寺に伝えた、当時の最先端の建築様式（屋根の形など）は？,寄棟造,奈良
桓武天皇が平安京へ遷都する直前、10年間だけ都を置いた場所は？,長岡京,平安
平安時代、検非違使の設置などにより、本来の律令制度の外に作られた官職を何というか？,令外の官,平安
嵯峨天皇の時、機密文書の管理や天皇の側近として設置された役職は？,蔵人頭,平安
最澄が唱えた、すべての人が仏になれるという思想をめぐる論争を何というか？,三一権実論争,平安
菅原道真を九州の大宰府に左遷した、時の左大臣は誰か？,藤原時平,平安
醍醐天皇の時代にまとめられた、律令の補足・改正規定を何というか？,延喜格式,平安
平安中期、地方の徴税を請け負い、実質的な支配者となった国司の最高責任者を何という？,受領,平安
開発領主が、権門勢家に土地を寄進することで税を逃れた土地を何というか？,寄進地系荘園,平安
白河上皇が院政を開始した際、北面の武士とともに組織した直属の軍事力は？,院の近臣,平安
平氏政権下、大輪田泊で行われた日宋貿易の主要な輸入品（貨幣）は？,宋銭,平安
後白河法皇が編纂した、当時流行した歌謡「今様」を集めた書物は？,梁塵秘抄,平安
平氏の栄華を象徴する、平家一門が厳島神社に奉納した豪華な経巻は？,平家納経,平安
鎌倉幕府の最高機関「評定衆」を設置し、合議制を確立した3代執権は？,北条泰時,鎌倉
1247年、北条時頼が有力御家人の三浦氏を滅ぼした事件を何というか？,宝治合戦,鎌倉
